5	68050000	68070000
12	39930000	40120000
15	68820000	69020000
6	70340000	70550000
4	42050000	42130000
1	163300000	163370000
1	97290000	97670000
2	163690000	163900000
2	4790000	4820000
10	48800000	48960000
20	16290000	16300000
11	81850000	81890000
6	87800000	87870000
7	144430000	145130000
11	81150000	81370000
4	101820000	101830000
9	111650000	111830000
1	183170000	183180000
15	57120000	57150000
5	116040000	116210000
1	96770000	96850000
9	135100000	135190000
4	35990000	36090000
2	8880000	8890000
11	94410000	94530000
8	52360000	52470000
8	46240000	46280000
18	54230000	54290000
13	67040000	67090000
2	191370000	191570000
2	214710000	214740000
4	64100000	64210000
15	73030000	73050000
13	53410000	53440000
2	195870000	195910000
19	58080000	58090000
3	101890000	101930000
14	79130000	79150000
13	28490000	28520000
4	30150000	30170000
16	52360000	52420000
3	178210000	178470000
3	131020000	131190000
8	79090000	79140000
13	91750000	91900000
1	212480000	212570000
6	141530000	141610000
11	104180000	105060000
2	79770000	79860000
4	134160000	134190000
12	123610000	123620000
16	6480000	6840000
5	81270000	81280000
5	164690000	164740000
2	160490000	160730000
10	36590000	36670000
6	129910000	129950000
5	165140000	165160000
13	94570000	94800000
1	198340000	198440000
11	38380000	38390000
11	30840000	30900000
7	49000000	49020000
5	164050000	164220000
5	64720000	64980000
18	38910000	38950000
8	112160000	112190000
1	161870000	162030000
13	64410000	64590000
2	236950000	237100000
5	77550000	77800000
3	181830000	181940000
6	131440000	131490000
3	184470000	184480000
17	79130000	79150000
7	96700000	96750000
11	105150000	105230000
11	42450000	42560000
3	73350000	73480000
15	42200000	42220000
14	27610000	27670000
1	227030000	227090000
5	3810000	4000000
3	123670000	123730000
10	78290000	78360000
7	31430000	31460000
14	51960000	52230000
2	151360000	151390000
11	22740000	22750000
2	50030000	50100000
11	88330000	88560000
13	41860000	41970000
3	129690000	129740000
9	107920000	107990000
6	90470000	90540000
12	28090000	28260000
5	108090000	108310000
3	182390000	182410000
18	69310000	70200000
14	29100000	29250000
1	193370000	193460000
10	70710000	70800000
11	131500000	131810000
12	91280000	91810000
16	19980000	20040000
9	124440000	124480000
1	179200000	179420000
10	35710000	35810000
10	65600000	65800000
6	87620000	87650000
11	100320000	100340000
2	2620000	2670000
19	680000	850000
16	76230000	76310000
9	84090000	84170000
14	76020000	76030000
7	53900000	53920000
21	20670000	20930000
14	50430000	50600000
6	109910000	109920000
16	13090000	13180000
8	28240000	28990000
9	14210000	14270000
17	16190000	16210000
8	114180000	114390000
3	55520000	55580000
17	68140000	68180000
2	32490000	32550000
3	156890000	157050000
3	28170000	28810000
11	101430000	101530000
13	110060000	110160000
15	25140000	25150000
19	16660000	16760000
6	34100000	34120000
1	243830000	244040000
10	63540000	63670000
13	58710000	58780000
3	115140000	115240000
12	115380000	116100000
14	47340000	47390000
21	23020000	23040000
3	159140000	159160000
8	143220000	143370000
2	239920000	239950000
3	99840000	100330000
11	40540000	40820000
15	34100000	34300000
4	88610000	88740000
7	41070000	41360000
18	26430000	26470000
13	101510000	101650000
6	67100000	67160000
7	154780000	154810000
8	95020000	95040000
9	9030000	9120000
11	80530000	80570000
6	137130000	137500000
1	47790000	47840000
1	241500000	241710000
20	7410000	7560000
2	7690000	7720000
5	125370000	125380000
6	62220000	62230000
6	76450000	76470000
10	33720000	33860000
5	56570000	56580000
12	109500000	109700000
2	137770000	137830000
10	86740000	86940000
6	20570000	20690000
4	78750000	78860000
19	7930000	7960000
8	41100000	41150000
3	132400000	132440000
6	128270000	128330000
22	25970000	25980000
22	43020000	43140000
10	76900000	76950000
6	135900000	135920000
1	66790000	66910000
21	16740000	16880000
2	174740000	175130000
2	173990000	174090000
2	115640000	115750000
2	141680000	142250000
6	159790000	159960000
20	62110000	62430000
6	130270000	130420000
7	68800000	68840000
17	70760000	70810000
3	127050000	127130000
7	86540000	86660000
7	67960000	68010000
3	94430000	94500000
16	20360000	20380000
7	98780000	98800000
